acc_Y_rms,class_label,window_id
0.1406838379808897,Normal,100W_S01_CW_R4_W0029
0.16359172206422734,Abnormal,200W_S10_CCW_R4_W0327
0.18886433690344123,Abnormal,200W_S07_CW_R4_W0599
0.14000816344465436,Abnormal,100W_S20_CCW_R4_W0279
0.21378091060563661,Normal,200W_S02_CW_R4_W0465
0.17960583141740832,Abnormal,200W_S10_CCW_R4_W0331
0.14506944103572678,Abnormal,100W_S03_CCW_R4_W0055
0.1675835596186081,Normal,200W_S02_CW_R4_W0447
0.12263362975960516,Abnormal,100W_S07_CCW_R4_W0138
0.08302510371207082,Abnormal,100W_S09_CW_R4_W0193
0.1131073875757178,Abnormal,200W_S17_CCW_R4_W0356
0.17736711533181154,Normal,200W_S02_CW_R4_W0431
0.10920911602227965,Normal,100W_S05_CCW_R4_W0103
0.17432543190267935,Normal,100W_S01_CCW_R4_W0018
0.15904743501804505,Normal,200W_S02_CW_R4_W0459
0.14021288676949914,Abnormal,200W_S07_CCW_R4_W0590
0.24816787973129414,Abnormal,200W_S04_CW_R4_W0530
