acc_X_rms,class_label,window_id
0.1490179208062778,Normal,100W_S01_CCW_R4_W0014
0.10994669938012809,Abnormal,200W_S17_CCW_R4_W0352
0.131094628174248,Abnormal,200W_S17_CCW_R4_W0362
0.7269602516470987,Abnormal,200W_S01_CCW_R4_W0300
0.12637369603156237,Abnormal,200W_S10_CCW_R4_W0336
0.1586794782826476,Abnormal,100W_S03_CW_R4_W0073
0.1421276586941462,Abnormal,200W_S06_CW_R4_W0575
0.11092254831639273,Normal,100W_S00_CW_R4_W0009
0.14629453277496515,Abnormal,200W_S10_CW_R4_W0348
0.1496985415884756,Normal,100W_S01_CCW_R4_W0017
0.14136995948257292,Abnormal,100W_S03_CW_R4_W0067
0.12324527814937795,Abnormal,100W_S02_CCW_R4_W0042
0.15837307927706668,Abnormal,200W_S06_CW_R4_W0582
0.1532450218938448,Abnormal,100W_S03_CW_R4_W0069
0.09701313619710124,Abnormal,100W_S08_CW_R4_W0171
0.14136259556184194,Normal,100W_S01_CCW_R4_W0018
0.11997327228115705,Abnormal,100W_S08_CW_R4_W0173
0.20532433309092135,Normal,200W_S03_CCW_R4_W0497
0.08525408147919183,Abnormal,100W_S09_CW_R4_W0189
0.08788895897707696,Normal,100W_S00_CCW_R4_W0004
0.14190422626959975,Abnormal,200W_S20_CW_R4_W0491
0.18019593967377373,Abnormal,200W_S04_CCW_R4_W0518
0.09139310037963329,Normal,100W_S05_CCW_R4_W0098
0.176610993181506,Abnormal,200W_S08_CW_R4_W0623
0.11465121537752222,Abnormal,100W_S02_CCW_R4_W0039
0.14507711842349483,Abnormal,200W_S04_CW_R4_W0532
0.11629824833423807,Abnormal,100W_S07_CW_R4_W0144
0.15268274134063559,Normal,200W_S02_CW_R4_W0443
0.10921303805735844,Abnormal,100W_S20_CCW_R4_W0283
0.1760030321465491,Abnormal,200W_S04_CCW_R4_W0522
0.07391236732495703,Abnormal,100W_S09_CCW_R4_W0175
0.1393617578042074,Normal,200W_S02_CW_R4_W0468
0.10717205360064959,Abnormal,100W_S18_CW_R4_W0247
0.09778215561211545,Abnormal,100W_S20_CCW_R4_W0274
0.9331564039617534,Abnormal,200W_S01_CW_R4_W0320
0.1144310156187015,Abnormal,200W_S10_CCW_R4_W0337
0.09429178695297641,Abnormal,100W_S18_CCW_R4_W0237
0.07978567428936263,Abnormal,100W_S09_CCW_R4_W0181
0.13582042312341325,Abnormal,200W_S10_CW_R4_W0350
0.18849544541738805,Abnormal,200W_S18_CW_R4_W0388
0.17363027084264923,Abnormal,200W_S04_CW_R4_W0531
0.15770578279343628,Normal,200W_S02_CW_R4_W0467
0.14515048980415055,Abnormal,100W_S03_CW_R4_W0070
0.09775622646417263,Normal,100W_S00_CCW_R4_W0000
0.13087409899739008,Abnormal,200W_S10_CW_R4_W0347
0.1156456871300858,Abnormal,100W_S08_CW_R4_W0169
0.09191471073788895,Abnormal,100W_S18_CW_R4_W0250
0.11302615301376058,Abnormal,200W_S07_CW_R4_W0597
0.10900068468162523,Normal,100W_S00_CW_R4_W0008
0.03701300253876042,Normal,200W_S02_CW_R4_W0437
0.11991184710946688,Abnormal,100W_S17_CW_R4_W0228
0.12698737894346618,Abnormal,200W_S07_CCW_R4_W0593
0.15961566094801918,Normal,200W_S02_CW_R4_W0420
0.18809811041907895,Abnormal,200W_S09_CCW_R4_W0636
0.11430142480131045,Abnormal,200W_S10_CCW_R4_W0329
0.10900068468162523,Normal,100W_S00_CW_R4_W0008
0.09396854902032027,Normal,100W_S05_CCW_R4_W0096
0.10814664888120312,Abnormal,100W_S02_CW_R4_W0051
0.16142105437220394,Abnormal,200W_S19_CCW_R4_W0398
0.1277078653293,Abnormal,100W_S03_CCW_R4_W0058
0.11256555368626939,Abnormal,200W_S06_CW_R4_W0572
0.1650455672295079,Normal,200W_S02_CW_R4_W0442
0.2501149281760407,Abnormal,200W_S18_CW_R4_W0386
0.036207732024280403,Normal,200W_S02_CW_R4_W0433
0.11092254831639273,Normal,100W_S00_CW_R4_W0009
0.09326068072790257,Normal,100W_S05_CW_R4_W0112
0.8017468592653255,Abnormal,200W_S01_CCW_R4_W0299
0.1346686792707351,Abnormal,100W_S02_CCW_R4_W0041
0.13421646213142835,Abnormal,200W_S07_CW_R4_W0596
0.06952899039352971,Abnormal,100W_S19_CW_R4_W0271
0.1570808372896757,Abnormal,200W_S20_CW_R4_W0496
0.1386415493384532,Abnormal,100W_S03_CW_R4_W0072
0.07718465416526053,Abnormal,100W_S19_CW_R4_W0272
0.10933427934300687,Abnormal,200W_S06_CW_R4_W0580
0.17837639204331968,Abnormal,200W_S08_CW_R4_W0626
0.13310801265748679,Abnormal,100W_S03_CW_R4_W0068
0.10191004447062069,Normal,100W_S00_CCW_R4_W0003
0.127883875985086,Abnormal,100W_S02_CCW_R4_W0037
0.0831695227847768,Abnormal,100W_S09_CW_R4_W0192
0.11092254831639273,Normal,100W_S00_CW_R4_W0009
0.1393617578042074,Normal,200W_S02_CW_R4_W0452
