window_id,product,label_binary,acc_Y_rms_low,acc_Y_rms_mid,acc_Y_rms_high,acc_Sum_rms_low,acc_Sum_rms_mid,acc_Sum_rms_high,Gyro_Y_rms_low,Gyro_Y_rms_mid,Gyro_Y_rms_high
100W_S00_CW_R4_W0009,100W,1,0.02468403549614492,0.06462978799983295,0.08045971144111237,0.025054644613296165,0.06395417185313086,0.05523607828786105,0.0066696881487391625,0.002811696324667762,0.0008897774675133016
100W_S06_CW_R4_W0133,100W,1,0.03840657846108447,0.06724374629877156,0.06110072343293783,0.0302462647715699,0.0487290437691204,0.04620937843567959,0.010871424871978565,0.0030572569891847688,0.001102466679359324
100W_S05_CW_R4_W0107,100W,1,0.033357161018793796,0.06005750923401534,0.05320610274825091,0.02526019465245618,0.04573590245506514,0.040475022712313624,0.008787429820823237,0.0026312122418841494,0.00101529224442705
200W_S02_CW_R4_W0421,200W,1,0.0282341612903513,0.08388552969699789,0.09395063144874678,0.033888300845806386,0.07371876153113603,0.0618831019740966,0.01059708622987771,0.00360663181497028,0.001377970796267432
100W_S05_CW_R4_W0110,100W,1,0.034075056876659175,0.06061107938202111,0.054372186939211184,0.02528421691959828,0.048158296681573044,0.04135186035947679,0.009003163053536482,0.0025284880906327003,0.0009165673955606673
200W_S02_CW_R4_W0434,200W,1,0.010702466974663389,0.02259685800629685,0.0204174133981387,0.008301649096002008,0.01476421627524901,0.016021933113437643,0.001632409560387873,0.0005236434647854568,0.00025966094223453426
100W_S06_CW_R4_W0133,100W,1,0.03840657846108447,0.06724374629877156,0.06110072343293783,0.0302462647715699,0.0487290437691204,0.04620937843567959,0.010871424871978565,0.0030572569891847688,0.001102466679359324
100W_S06_CW_R4_W0126,100W,1,0.04218014971093789,0.07274385123378493,0.06730865154286234,0.030616305263063102,0.049905590920232695,0.04962828778419461,0.010625024423517728,0.003199425368870377,0.0012142498867354007
200W_S02_CW_R4_W0446,200W,1,0.0690804397004498,0.11431291319280734,0.1740421973646543,0.0480226077730795,0.1053289363252803,0.10392692714940534,0.01296759919271475,0.004684213544244658,0.0020530643780145214
200W_S03_CW_R4_W0508,200W,1,0.058900687379400275,0.07533007231222315,0.07663085923834911,0.04425913854568798,0.10611164235953202,0.07005729545684795,0.011336723986882347,0.0032272332758381227,0.0012221519025961223
200W_S02_CW_R4_W0463,200W,1,0.033898290702890445,0.08898513398211089,0.12881582423851073,0.03970282474310774,0.10389056727062881,0.08928328020774556,0.009485840751126498,0.0036534021721776654,0.0013732967914872037
200W_S02_CW_R4_W0421,200W,1,0.0282341612903513,0.08388552969699789,0.09395063144874678,0.033888300845806386,0.07371876153113603,0.0618831019740966,0.01059708622987771,0.00360663181497028,0.001377970796267432
100W_S00_CCW_R4_W0001,100W,1,0.021952316527602902,0.05494894808115089,0.06351746266140644,0.02470778719487015,0.044049452705260506,0.0421743381683498,0.006895288231508092,0.0024210603630679278,0.0008577556621349279
